"","GTAP","GTAP_code","Value","GTAP_country"
"160","pfb",21,408700,"deu"
"161","v_f",21,577240,"deu"
"162","wht",21,3118100,"deu"
"163","gro",22,1388467,"gbr"
"164","ocr",22,178041,"gbr"
"165","osd",22,550630,"gbr"
"166","pfb",22,108000,"gbr"
"167","v_f",22,389914,"gbr"
"168","wht",22,1816000,"gbr"
"169","c_b",23,69479,"rus"
"170","gro",23,14897032,"rus"
"171","ocr",23,2159856,"rus"
"172","osd",23,13868271,"rus"
"173","pdr",23,190691,"rus"
"174","pfb",23,1133752,"rus"
"175","v_f",23,3244253,"rus"
"176","wht",23,27558617,"rus"
"177","c_b",24,183900,"e25"
"178","gro",24,15629430,"e25"
"179","ocr",24,1144330,"e25"
"180","osd",24,8700050,"e25"
"181","pdr",24,354550,"e25"
"182","pfb",24,641570,"e25"
"183","v_f",24,8222856,"e25"
"184","wht",24,11987150,"e25"
"185","c_b",25,39081,"xsu"
"186","gro",25,14758634,"xsu"
"187","ocr",25,1325965,"xsu"
"188","osd",25,12638947,"xsu"
"189","pdr",25,376381,"xsu"
"190","pfb",25,2401251,"xsu"
"191","v_f",25,5418616,"xsu"
"192","wht",25,22770118,"xsu"
"193","c_b",26,17405,"xer"
"194","gro",26,6609525,"xer"
"195","ocr",26,311005,"xer"
"196","osd",26,4539639,"xer"
"197","pdr",26,52591,"xer"
"198","pfb",26,97673,"xer"
"199","v_f",26,2189674,"xer"
"200","wht",26,4800577,"xer"
"201","c_b",27,59187,"xws"
"202","gro",27,7725058,"xws"
"203","ocr",27,1712756,"xws"
"204","osd",27,2759328,"xws"
"205","pdr",27,257003,"xws"
"206","pfb",27,970999,"xws"
"207","v_f",27,5160065,"xws"
"208","wht",27,9975809,"xws"
"209","c_b",28,229338,"xnf"
"210","gro",28,15087979,"xnf"
"211","ocr",28,6209656,"xnf"
"212","osd",28,7094533,"xnf"
"213","pdr",28,829948,"xnf"
"214","pfb",28,1175089,"xnf"
"215","v_f",28,4936146,"xnf"
"216","wht",28,7019483,"xnf"
"217","c_b",29,2194484,"ssa"
"218","gro",29,79393240,"ssa"
"219","ocr",29,47416632,"ssa"
"220","osd",29,25651545,"ssa"
"221","pdr",29,16292109,"ssa"
"222","pfb",29,15822551,"ssa"
"223","v_f",29,55673330,"ssa"
"224","wht",29,2745754,"ssa"
"225","c_b",30,8654,"xtw"
"226","gro",30,108811,"xtw"
"227","ocr",30,17818,"xtw"
"228","osd",30,22566,"xtw"
"229","pdr",30,270066,"xtw"
"230","pfb",30,11775,"xtw"
"231","v_f",30,455849,"xtw"
"232","wht",30,47560,"xtw"
